num_point,time_sort,time_convex,time_convex_pred,residual,,,
92416,0.729499817,0.962501049,0.830454131,0.100954314,,,
93025,0.763499737,0.975498676,0.836406819,0.072907082,,,
93636,0.737502098,0.981497288,0.842382205,0.104880107,,,
94249,0.788998604,0.975000858,0.848380298,0.059381694,,,
94864,0.801999807,0.996000051,0.85440111,0.052401303,,,
95481,0.79150033,0.994000196,0.860444651,0.068944321,,,
96100,0.829000711,1.032499552,0.86651093,0.037510219,,,
96721,0.80299902,1.007999897,0.872599958,0.069600938,,,
97344,0.80799818,1.023002386,0.878711746,0.070713566,,,
97969,0.858999014,1.018498898,0.884846302,0.025847288,,,
98596,0.794498205,1.049000502,0.891003638,0.096505433,,,
99225,0.830998182,1.034499407,0.897183763,0.066185581,,,
99856,0.822502136,1.047499895,0.903386687,0.080884551,,,
100489,0.836499691,1.046000004,0.90961242,0.073112729,,,
101124,0.84349966,1.074500799,0.915860973,0.072361313,,,
101761,0.826500416,1.063500404,0.922132354,0.095631938,,,
102400,0.841499567,1.06700182,0.928426575,0.086927008,,,
103041,0.847999811,1.07199955,0.934743644,0.086743833,,,
103684,0.875501871,1.076998472,0.941083571,0.0655817,,,
104329,0.895499229,1.086000919,0.947446367,0.051947138,,,
104976,0.868500471,1.097000122,0.953832041,0.08533157,,,
105625,0.909501314,1.095998049,0.960240603,0.050739289,,,
106276,0.863998413,1.107499599,0.966672063,0.10267365,,,
106929,0.874999046,1.11199975,0.973126429,0.098127383,,,
107584,0.955999613,1.11550045,0.979603712,0.023604099,,,
108241,0.928999424,1.126999378,0.986103922,0.057104498,,,
108900,0.902500391,1.131000519,0.992627068,0.090126677,,,
109561,0.947499514,1.135502338,0.999173159,0.051673645,,,
110224,0.953999758,1.14800024,1.005742205,0.051742447,,,
110889,0.891999483,1.151001453,1.012334215,0.120334732,,,
111556,0.932499886,1.159501553,1.0189492,0.086449314,,,
112225,0.897501469,1.165499449,1.025587167,0.128085698,,,
112896,0.991500378,1.175499201,1.032248128,0.04074775,,,
113569,0.945000887,1.19599843,1.03893209,0.093931203,,,
114244,1.180002213,1.213997841,1.045639064,-0.134363149,,,
114921,1.008496523,1.211997747,1.052369059,0.043872536,,,
115600,0.986998558,1.21399951,1.059122084,0.072123526,,,
116281,1.030999899,1.222500801,1.065898148,0.034898249,,,
116964,0.990001917,1.228498697,1.072697261,0.082695344,,,
117649,1.024500847,1.239498854,1.079519432,0.055018585,,,
118336,1.006999731,1.240500212,1.086364669,0.079364938,,,
119025,1.032000542,1.254500866,1.093232983,0.061232441,,,
119716,1.06099987,1.255500793,1.100124381,0.039124511,,,
120409,1.051998377,1.268001318,1.107038874,0.055040497,,,
121104,1.009499788,1.288500071,1.113976471,0.104476683,,,
121801,1.07949996,1.268504858,1.12093718,0.04143722,,,
122500,1.034497499,1.275998592,1.12792101,0.093423511,,,
123201,1.020503283,1.284995794,1.134927971,0.114424688,,,
123904,1.091501236,1.294998884,1.141958071,0.050456835,,,
124609,1.060504436,1.299997568,1.14901132,0.088506884,,,
125316,1.11349988,1.307499647,1.156087725,0.042587845,,,
126025,1.053998709,1.31450057,1.163187297,0.109188588,,,
126736,1.116999865,1.322500467,1.170310045,0.05331018,,,
127449,1.1235044,1.326497316,1.177455975,0.053951575,,,
128164,1.114499331,1.337498903,1.184625099,0.070125768,,,
128881,1.112499475,1.346000433,1.191817424,0.079317949,,,
129600,1.123500109,1.351001024,1.199032959,0.07553285,,,
130321,1.119502544,1.359997511,1.206271714,0.08676917,,,
131044,1.141497135,1.360499859,1.213533696,0.072036561,,,
131769,1.08949995,1.371010303,1.220818914,0.131318964,,,
132496,1.174992085,1.379999876,1.228127378,0.053135293,,,
133225,1.188499451,1.389999151,1.235459095,0.046959644,,,
133956,1.190998554,1.392499685,1.242814075,0.051815521,,,
134689,1.164999723,1.404001951,1.250192326,0.085192603,,,
135424,1.157000065,1.407000303,1.257593856,0.100593791,,,
136161,1.143498182,1.415501833,1.265018674,0.121520492,,,
136900,1.203499556,1.43700099,1.272466789,0.068967233,,,
137641,1.213500738,1.43050313,1.279938209,0.066437471,,,
138384,1.197492599,1.446499348,1.287432943,0.089940344,,,
139129,1.189499617,1.45200038,1.294950998,0.105451381,,,
139876,1.231501102,1.458500147,1.302492385,0.070991283,,,
140625,1.281499624,1.463998556,1.31005711,0.028557486,,,
141376,1.278499126,1.473999262,1.317645183,0.039146057,,,
142129,1.242001295,1.486500263,1.325256611,0.083255316,,,
142884,1.250501156,1.490497589,1.332891403,0.082390247,,,
143641,1.253499985,1.502000093,1.340549568,0.087049583,,,
144400,1.311499834,1.509001493,1.348231113,0.036731279,,,
145161,1.276000738,1.509502411,1.355936047,0.079935309,,,
145924,1.281498671,1.522999763,1.363664379,0.082165708,,,
146689,1.282499552,1.530001879,1.371416116,0.088916564,,,
147456,1.289000273,1.537998676,1.379191267,0.090190994,,,
148225,1.445499182,1.547501564,1.386989839,-0.058509343,,,
148996,1.375999451,1.560501337,1.394811842,0.018812391,,,
149769,1.308999777,1.565000057,1.402657283,0.093657506,,,
150544,1.357998371,1.578999758,1.41052617,0.052527799,,,
151321,1.309000015,1.590001345,1.418418512,0.109418497,,,
152100,1.323999166,1.598000765,1.426334316,0.10233515,,,
152881,1.330999136,1.598500252,1.434273591,0.103274455,,,
153664,1.37199831,1.612001657,1.442236345,0.070238035,,,
154449,1.343500376,1.612999678,1.450222585,0.106722209,,,
155236,1.340998411,1.621999979,1.45823232,0.117233909,,,
156025,1.391498804,1.631000757,1.466265557,0.074766753,,,
156816,1.415992975,1.640498638,1.474322306,0.058329331,,,
157609,1.375999689,1.646999836,1.482402573,0.106402884,,,
158404,1.46000123,1.668500423,1.490506366,0.030505136,,,
159201,1.405506134,1.660493374,1.498633694,0.09312756,,,
160000,1.383998632,1.684000254,1.506784565,0.122785933,,,
160801,1.41400075,1.684009314,1.514958985,0.100958235,,,
161604,1.423496485,1.72749877,1.523156964,0.099660479,,,
162409,1.421501875,1.694998264,1.531378508,0.109876633,,,
163216,1.438997269,1.719000101,1.539623627,0.100626358,,,
164025,1.506994963,1.720000744,1.547892326,0.040897363,,,
164836,1.519000053,1.730001688,1.556184615,0.037184562,,,
165649,1.447495461,1.735001564,1.564500501,0.11700504,,,
166464,1.421500444,1.760499954,1.572839992,0.151339548,,,
167281,1.529500723,1.760499954,1.581203095,0.051702372,,,
168100,1.461496592,1.78099823,1.589589819,0.128093227,,,
168921,1.458500385,1.768501043,1.59800017,0.139499785,,,
169744,1.488500357,1.786499023,1.606434156,0.117933799,,,
170569,1.459498882,1.791501045,1.614891786,0.155392904,,,
171396,1.525498867,1.802008629,1.623373067,0.0978742,,,
172225,1.709000349,1.808498859,1.631878006,-0.077122343,,,
173056,1.573499918,1.845000267,1.640406611,0.066906693,,,
173889,1.612502098,1.850002289,1.648958889,0.036456791,,,
174724,1.582995653,1.829500437,1.657534849,0.074539196,,,
175561,1.620499611,1.84250474,1.666134497,0.045634886,,,
176400,1.721499205,1.853999376,1.674757841,-0.046741364,,,
177241,1.590999603,1.875500441,1.683404889,0.092405286,,,
178084,1.568007708,1.870493412,1.692075647,0.124067939,,,
178929,1.60599947,1.887499809,1.700770125,0.094770655,,,
179776,1.659999847,1.942502022,1.709488328,0.049488481,,,
