num_point,time_sort,ycalc,res
379456,3.576000929,3.831018338,0.255017409
380689,3.792002439,3.844437394,0.052434955
381924,3.617999554,3.857881364,0.23988181
383161,3.662999868,3.871350251,0.208350383
384400,3.651498079,3.884844061,0.233345982
385641,3.990500927,3.898362798,-0.092138129
386884,3.665999174,3.911906469,0.245907295
388129,3.761000395,3.925475078,0.164474683
389376,3.911002159,3.93906863,0.028066471
390625,3.851500034,3.95268713,0.101187096
391876,3.92799902,3.966330584,0.038331564
393129,3.694999933,3.979998995,0.284999062
394384,3.733998775,3.99369237,0.259693595
395641,4.100499153,4.007410713,-0.09308844
396900,3.84149909,4.021154029,0.179654939
398161,3.897998571,4.034922323,0.136923752
399424,3.861000061,4.048715601,0.18771554
400689,4.039498568,4.062533866,0.023035298
401956,3.902998686,4.076377125,0.173378439
403225,3.863999367,4.090245382,0.226246015
404496,3.963999748,4.104138642,0.140138894
405769,3.96400094,4.11805691,0.15405597
407044,4.000496387,4.132000191,0.131503804
408321,4.008497953,4.14596849,0.137470537
409600,4.025999784,4.159961812,0.133962028
410881,4.073999882,4.173980161,0.099980279
412164,4.053000212,4.188023543,0.135023331
413449,4.245999575,4.202091963,-0.043907612
414736,4.080498457,4.216185425,0.135686968
416025,4.36749959,4.230303934,-0.137195656
417316,3.99199748,4.244447496,0.252450016
418609,4.109499931,4.258616114,0.149116183
419904,4.24499917,4.272809795,0.027810625
421201,4.152499914,4.287028542,0.134528628
422500,4.262998819,4.301272361,0.038273542
423801,4.196501493,4.315541256,0.119039763
425104,4.161499977,4.329835233,0.168335256
426409,4.085499525,4.344154296,0.258654771
427716,4.086495638,4.35849845,0.272002812
429025,4.10649991,4.372867699,0.266367789
430336,4.409999371,4.387262049,-0.022737322
431649,4.290498257,4.401681504,0.111183247
432964,4.235000134,4.41612607,0.181125936
434281,4.318999529,4.43059575,0.111596221
435600,4.245000124,4.44509055,0.200090426
436921,4.403000116,4.459610475,0.056610359
438244,4.411499977,4.474155529,0.062655552
439569,4.320498943,4.488725716,0.168226773
